iter	Passed	Remaining
438	1206	1542
439	1208	1537
440	1209	1533
441	1211	1529
442	1212	1524
443	1214	1520
444	1215	1515
445	1218	1513
446	1220	1509
447	1221	1504
448	1222	1500
449	1224	1496
450	1225	1492
451	1227	1487
452	1228	1483
453	1229	1479
454	1233	1477
455	1235	1473
456	1236	1469
457	1238	1465
458	1239	1461
459	1241	1456
460	1243	1453
461	1244	1449
462	1248	1447
463	1249	1443
464	1250	1439
465	1252	1435
466	1253	1430
467	1255	1426
468	1256	1422
469	1257	1418
470	1259	1414
471	1262	1412
472	1265	1409
473	1266	1405
474	1267	1401
475	1268	1396
476	1270	1392
477	1271	1388
478	1273	1384
479	1274	1380
480	1279	1380
481	1280	1376
482	1282	1372
483	1284	1369
484	1286	1365
485	1287	1361
486	1289	1358
487	1293	1357
488	1295	1353
489	1296	1349
490	1298	1346
491	1300	1342
492	1301	1338
493	1303	1334
494	1304	1331
495	1308	1330
496	1311	1326
497	1312	1323
498	1314	1320
499	1317	1317
500	1320	1314
501	1325	1315
502	1327	1311
503	1329	1308
504	1331	1304
505	1332	1301
506	1336	1299
507	1337	1295
508	1338	1291
509	1340	1287
510	1341	1283
511	1342	1279
512	1344	1276
513	1345	1272
514	1347	1268
515	1350	1266
516	1352	1263
517	1353	1259
518	1355	1255
519	1356	1252
520	1357	1248
521	1359	1244
522	1360	1240
523	1361	1236
524	1365	1235
525	1366	1231
526	1368	1227
527	1369	1224
528	1370	1220
529	1372	1216
530	1373	1213
531	1375	1209
532	1376	1205
533	1378	1202
534	1380	1200
535	1382	1196
536	1383	1192
537	1384	1189
538	1386	1185
539	1387	1182
540	1389	1178
541	1390	1174
542	1391	1171
543	1395	1169
544	1397	1166
545	1398	1162
546	1400	1159
547	1401	1155
548	1402	1152
549	1404	1148
550	1406	1145
551	1411	1145
552	1413	1142
553	1415	1139
554	1417	1136
555	1419	1133
556	1421	1130
557	1426	1130
558	1429	1127
559	1430	1124
560	1432	1121
561	1435	1118
562	1437	1115
563	1443	1115
564	1445	1112
565	1447	1110
566	1449	1106
567	1451	1103
568	1457	1104
569	1459	1101
570	1462	1098
571	1464	1095
572	1466	1092
573	1473	1093
574	1476	1091
575	1479	1088
576	1480	1085
577	1482	1082
578	1488	1081
579	1491	1079
580	1493	1077
581	1495	1074
582	1497	1071
583	1503	1070
584	1505	1067
585	1506	1064
586	1508	1061
587	1510	1058
588	1513	1056
589	1520	1056
590	1524	1054
591	1527	1052
592	1534	1053
593	1538	1051
594	1540	1048
595	1543	1045
596	1544	1042
597	1550	1042
598	1557	1042
599	1564	1042
600	1566	1040
601	1570	1038
602	1574	1036
603	1578	1035
604	1580	1031
605	1582	1028
606	1584	1025
607	1585	1022
608	1587	1019
609	1589	1015
610	1594	1015
611	1596	1011
612	1598	1009
613	1600	1006
614	1602	1003
615	1610	1003
616	1613	1001
617	1616	999
618	1619	996
619	1624	995
620	1626	992
621	1628	989
622	1631	987
623	1634	984
624	1639	983
625	1641	980
626	1643	977
627	1644	974
628	1646	971
629	1648	967
630	1649	964
631	1654	963
632	1659	962
633	1662	959
634	1669	959
635	1672	957
636	1679	956
637	1686	957
638	1688	953
639	1689	950
640	1690	946
641	1692	943
642	1693	940
643	1694	936
644	1696	933
645	1699	931
646	1701	928
647	1702	925
648	1704	921
649	1705	918
650	1707	915
651	1709	912
652	1711	909
653	1714	907
654	1716	904
655	1717	900
656	1719	897
657	1720	894
658	1721	890
659	1723	887
660	1724	884
661	1725	881
662	1729	879
663	1731	876
664	1732	872
665	1734	869
666	1735	866
667	1736	863
668	1738	859
669	1739	856
670	1740	853
671	1744	851
672	1745	848
673	1747	845
674	1748	842
675	1751	839
676	1752	836
677	1753	832
678	1755	829
679	1757	827
680	1759	824
681	1761	821
682	1764	819
683	1768	816
684	1770	814
685	1775	812
686	1778	810
687	1780	807
688	1782	804
689	1784	801
690	1786	798
691	1791	797
692	1794	794
693	1797	792
694	1800	790
695	1806	788
696	1807	785
697	1810	783
698	1811	780
699	1813	777
700	1815	774
701	1816	771
702	1823	770
703	1825	767
704	1826	764
705	1828	761
706	1833	759
707	1834	756
708	1836	753
709	1838	751
710	1840	748
711	1842	745
712	1845	742
713	1851	741
714	1852	738
715	1856	736
716	1860	734
717	1866	732
718	1868	730
719	1871	727
720	1873	725
721	1883	725
722	1886	722
723	1888	719
724	1890	717
725	1898	716
726	1901	714
727	1903	711
728	1905	708
729	1908	705
730	1910	703
731	1912	700
732	1914	697
733	1915	694
734	1917	691
735	1918	688
736	1920	685
737	1924	683
738	1926	680
739	1928	677
740	1929	674
741	1931	671
742	1932	668
743	1934	665
744	1936	662
745	1939	660
746	1941	657
747	1943	654
748	1945	651
749	1946	648
750	1948	645
751	1949	642
752	1953	640
753	1955	637
754	1957	635
755	1959	632
756	1960	629
757	1962	626
758	1963	623
759	1965	620
760	1968	618
761	1970	615
762	1972	612
763	1974	609
764	1975	606
765	1977	604
766	1979	601
767	1983	599
768	1984	596
769	1986	593
770	1988	590
771	1990	587
772	1993	585
773	1994	582
774	1999	580
775	2000	577
776	2002	574
777	2004	571
778	2006	569
779	2007	566
780	2009	563
781	2014	561
782	2016	558
783	2020	556
784	2022	554
785	2024	551
786	2028	549
787	2030	546
788	2032	543
789	2033	540
790	2035	537
791	2036	534
792	2040	532
793	2044	530
794	2046	527
795	2048	524
796	2049	522
797	2051	519
798	2053	516
799	2054	513
800	2058	511
801	2060	508
802	2061	505
803	2063	503
804	2065	500
805	2066	497
806	2068	494
807	2069	491
808	2074	489
809	2075	486
810	2077	484
811	2079	481
812	2081	478
813	2083	476
814	2085	473
815	2090	471
816	2091	468
817	2093	465
818	2094	462
819	2096	460
820	2098	457
821	2099	454
822	2103	452
823	2105	449
824	2106	446
825	2108	444
826	2110	441
827	2111	438
828	2113	435
829	2115	433
830	2119	431
831	2121	428
832	2123	425
833	2124	422
834	2126	420
835	2128	417
836	2129	414
837	2131	412
838	2133	409
839	2134	406
840	2136	403
841	2138	401
842	2139	398
843	2141	395
844	2142	393
845	2146	390
846	2148	388
847	2150	385
848	2152	382
849	2154	380
850	2156	377
851	2158	374
852	2162	372
853	2164	370
854	2166	367
855	2171	365
856	2179	363
857	2182	361
858	2187	359
859	2194	357
860	2196	354
861	2198	352
862	2202	349
863	2209	347
864	2211	345
865	2212	342
866	2214	339
867	2215	336
868	2217	334
869	2218	331
870	2219	328
871	2223	326
872	2225	323
873	2226	321
874	2228	318
875	2229	315
876	2231	312
877	2232	310
878	2233	307
879	2236	304
880	2238	302
881	2239	299
882	2241	296
883	2242	294
884	2244	291
885	2245	288
886	2247	286
887	2248	283
888	2250	280
889	2252	278
890	2254	275
891	2256	273
892	2258	270
893	2260	267
894	2261	265
895	2262	262
896	2266	260
897	2267	257
898	2269	254
899	2271	252
900	2272	249
901	2274	247
902	2276	244
903	2278	241
904	2281	239
905	2283	236
906	2284	234
907	2286	231
908	2287	229
909	2289	226
910	2290	223
911	2292	221
912	2293	218
913	2296	216
914	2298	213
915	2299	210
916	2301	208
917	2302	205
918	2304	203
919	2305	200
920	2307	197
921	2309	195
922	2311	192
923	2312	190
924	2313	187
925	2315	185
926	2316	182
927	2318	179
928	2319	177
929	2320	174
930	2322	172
931	2325	169
932	2326	167
933	2327	164
934	2329	161
935	2331	159
936	2332	156
937	2334	154
938	2335	151
939	2341	149
940	2342	146
941	2344	144
942	2346	141
943	2348	139
944	2349	136
945	2351	134
946	2355	131
947	2357	129
948	2358	126
949	2360	124
950	2362	121
951	2363	119
952	2366	116
953	2373	114
954	2375	111
955	2377	109
956	2379	106
957	2381	104
958	2386	102
959	2388	99
960	2390	97
961	2392	94
962	2394	91
963	2396	89
964	2397	86
965	2402	84
966	2403	82
967	2405	79
968	2407	77
969	2408	74
970	2410	71
971	2412	69
972	2416	67
973	2418	64
974	2421	62
975	2423	59
976	2425	57
977	2426	54
978	2428	52
979	2433	49
980	2435	47
981	2438	44
982	2440	42
983	2442	39
984	2443	37
985	2449	34
986	2451	32
987	2453	29
988	2454	27
989	2456	24
990	2458	22
991	2463	19
992	2465	17
993	2467	14
994	2468	12
995	2470	9
996	2472	7
997	2473	4
998	2478	2
999	2480	0
